ID,Trend/pointe,Uddybning,Kategori,Enige (kilder),Uenige / nuancer,Konfidens,Publikumsspørgsmål,Note til webinar
T11,Prompt injection er uløst og dominerende - basal agent-hygiejne mangler de fleste steder,"OWASP-data: injection driver flest agentic-sikkerhedsfejl; indirekte angreb (instruktioner gemt i mails/docs/web) er >55% af hændelser, +340% YoY. 55-63% af orgs mangler purpose binding, kill switches eller netværksisolation. Torres skriver nu supply-chain-sikkerhed for ikke-tekniske buildere.",Governance & sikkerhed,"OWASP/Help Net Security, Bain, Anthropic (egress allowlists, sandboxing), Torres",Ingen - men vendors underspiller det i marketing,Høj,Hvor skal vi passe på?,Vigtigt for banker i publikum. Konkret: agenter med tool-adgang = nyt angrebsflade
T12,"EU AI Act: high-risk udskudt til dec 2027, men transparenskrav gælder fra 2. aug 2026","Digital Omnibus (jun 2026) udskød stand-alone high-risk (kreditscoring, HR, biometri) fra aug 2026 til dec 2027. MEN Artikel 50-transparens (fortæl brugere de taler med AI, mærk AI-indhold) trådte i kraft 2. aug 2026 - 16 dage før webinaret. Pressen citerer ofte de gamle deadlines.",Governance & sikkerhed,"Juridiske specialkilder (Travers Smith, CSA)",Ingen - fakta. Men udbredt forvirring i pressen,Høj,Hvordan med sikkerhed og governance?,Dagsaktuel faktuel nyhed med direkte relevans for banker (kreditscoring = Annex III). Nem quick-win at levere
T13,Tokenomics: AI-omkostningsdisciplin er sommerens nye tema,"Genuint nyt siden juni: Gartner forudser AI-kodeomkostninger > udviklerløn i 2028; 93% af enterprises overskred AI-budgetter; agentiske opgaver bruger ~1000x flere tokens end chat; ~60% af agent-omkostning er tjek/reparation. Remedier: model-routing, token-budgetter, omkostningsreview i retros.",Adoption & ROI,"Gartner (jun 24), McKinsey (jul 13+20), Anthropic (spend controls jul 2), Bain (metrics)",Ingen uenighed om problemet; McKinsey advarer eksplicit mod at bremse programmer af den grund,Høj (men nyt/hurtigt bevægende),Hvor skal vi passe på?,Nyhedsværdi: dette fandtes knap før juni. Konkret ritual: token-review i sprint-retro
T14,Beskyt juniorer og dømmekraftsopbygning - broken skills ladder,"Gartner: orgs der skærer juniorroller udhuler egen talent-pipeline inden 2028. Deloitte: jo mere arbejde AI absorberer, jo færre chancer for at opbygge dømmekraft til at føre tilsyn med den. Stanford/ADP: entry-level i AI-eksponerede jobs -3,8%/år og accelererende. Lenny-survey: jeg er amplified, men min hjerne rådner.",Roller & skills,"Gartner, Deloitte, Stanford/Brynjolfsson (ADP-data), Lenny-survey, HBR","Stanford Review m.fl.: entry-level-krisen kan være makro, ikke AI",Høj,Hvor skal vi passe på?,Mellemleder-relevant: bemandings- og udviklingsbeslutninger NU afgør teamets dømmekraft om 3 år
T15,Menneskesiden: arbejdsstyrken splitter i AI-amplified og AI-shaken,"Lenny/Segal (n stor): 49% føler sig amplified, 31% destabiliseret/omdefineret negativt; burnout 44,7→55,7% på ét år. Frygten er IKKE fyring (kun 22%) men mere arbejde for samme løn (51%), uholdbart tempo (46%), faldende kvalitet (41%). BCG joy paradox: 2/3 gladere OG 41% mere mentalt belastede. Designere/researchere mest pressede.",Organisation & ledelse,"Lenny-survey, BCG (12.000 resp.), Deloitte, Figma (designer-splittet 36/35/29)","Anthropic Economic Index: mest AI-eksponerede er mest optimistiske - modsat fortegn, andet sample",Høj,Hvordan arbejder et rigtig godt AI-team?,"People-first er Syndicates DNA: FOBO, Secret Cyborgs, frygt som største barriere - jeres eksisterende materiale er stadig spot-on"
T16,Workslop og knowledge decay - verifikationskultur er den nye kernedisciplin,HBR (jun): kumulativ AI-slop rådner processer og institutionel hukommelse; verifikations-overhead æder de lovede gevinster hvis den ikke designes ind. BCG: 60% siger baren for good enough er steget. Vibe coding hangover: 40-62% af AI-genereret kode har sikkerhedsfejl.,Risici & modtrends,"HBR (Holweg & Davenport), BCG, praktiker-diskurs, Anthropic (automatiseret review: substantielle kommentarer 16→54%)",Ingen - men vendors viser samtidig at problemet KAN løses med AI-review + risk-tiered human approval,Medium-Høj,Hvor skal vi passe på?,"God modtrend at nævne: kvalitetsgates er ikke bureaukrati, det er AI-æraens kernedisciplin"
T17,AI-boble-diskursen er gået mainstream - men adskil capex-boble fra nytteværdi,"Juni-selloff, 2026 ligner 1999 (Fortune), lækket Treasury-udkast om systemisk risiko, AI-boble-søgninger +1581% YoY. VIGTIG nuance: boblefrygt handler om valuations/capex, ikke om hvorvidt AI er nyttigt i produktarbejde - pressen blander det ofte sammen.",Risici & modtrends,"Fortune, NOTUS/Treasury-læk, bred finanspresse",Uafklaret spørgsmål i sig selv; ingen konsensus om boble ja/nej,"Medium (diskursen er reel, svaret er åbent)",Hvor skal vi passe på?,Publikum har læst overskrifterne - adressér det proaktivt og lever nuancen
T18,"Størrelsen på produktivitetsgevinsten er reelt omstridt: 5-10x forventet, 16-30% målt, METR kan ikke måle","Bain relayer executive-forventninger om 5-10x (forventning, ikke måling!). McKinsey måler 16-30% levering / 31-45% kvalitet. METR (guldstandard): tidligere RCT viste devs 19% LANGSOMMERE mens de troede de var 20% hurtigere; nu kan eksperimentet ikke længere køres, fordi udviklere nægter at arbejde uden AI.",AI styrker/begrænsninger,Spredning på tværs af ALLE kilder,Hele feltet er uenigt om magnitude. Anthropic 8x kode-output vs METR-forsigtighed er det perfekte spændingspar,Lav (tallene) / Høj (at der ER usikkerhed),Hvad er AI god til / ikke god til?,Ærlighed her bygger tillid: vis spændet og forklar hvorfor ingen ved det præcist
T19,"Hvor man starter: smalt, reversibelt, med ejer - og én workflow end-to-end","Bain: start narrower than you think (klar værdi, tydelig procesejer, reversible handlinger, ufarlige fejlmodes). Torres til individer: ét to-do-punkt, 15 minutter dagligt, forvent at det er dårligt i starten; AI-shaped problems. McKinsey: CX/kundevendte flows er proving ground (41% når fuld skala, 3,5x andre domæner). Deloitte: 6-8-ugers sprints.",Getting started / lavthængende frugter,"Bain, McKinsey, Deloitte, Torres, BCG (2-3 strategiske domæner), MIT-baggrund (eksterne partnerskaber 3x succes)",Mild spænding: Torres start uden infrastruktur vs Matthews/Lenny leverage kræver MCP/infrastruktur - reelt forskellige modenhedstrin,Høj,Hvor skal vi starte? / Lavthængende frugter,Direkte leverance på webinar-løftet: ét konkret sted at begynde
T20,AI-teammaten i teamkanalen er blevet en produktkategori,"Claude Tag i Slack (jun 23), ChatGPT Work (jul 9, arbejder autonomt i timevis), Cowork til web/mobil (jul 7). Historien er flyttet fra chatbots og coding copilots til navngivne agenter i teamets kanal. Copilot Studio: 160k orgs, 400k+ agenter.",Agentic AI & tooling,"Anthropic, OpenAI, Microsoft, Salesforce + al tech-presse",Virtual employee-framingen er pressehype; realiteten er scoped assistenter med admin-styrede permissions,Høj (at det sker) / Medium (modenhed),Hvordan undgår vi at alle sidder med hver deres AI?,Konkret og visuelt: vis hvad et team-AI-setup faktisk ER i 2026. Godt demo-stof
T21,Pyramiden flader ud - mellemlederen bliver player-coach,"Fortune/Korn Ferry: 41% af medarbejdere siger deres firma har skåret ledelseslag det seneste år. Agenter absorberer koordinationsarbejdet der retfærdiggjorde lagene. Cognizant-CEO: macro delegate, micro steer. Citat: Mellemlederen uddør ikke. Pyramiden gør.",Organisation & ledelse,"Fortune, Korn Ferry, Gartner, BCG (CHRO som Chief Transformation & Capability Officer)",Spænding mod T16: færre ledere vs MERE verifikations-/dømmekraftsarbejde,Medium,Hvordan samarbejder man på tværs af roller?,Taler direkte til mellemlederne i publikum: rollen ændres fra koordination til arbejdsdesign + exceptions + judgment
T22,Markedet belønner kun AI i produktet - ikke ren produktivitets-AI,"McKinsey PE-data (471 selskaber): revenue-multipel 13-14x for produktivitets-AI, 20x når AI er embedded i produktet, 31x for AI business building. Forudsætning: proprietær data-moat + integreret operating model hvor produkt, data science og engineering samarbejder tæt. Bain: proprietary intelligence flywheel.",Adoption & ROI,"McKinsey, Bain","Korrelation, ikke kausalitet - McKinsey siger selv associated with",Medium,Hvad er AI god til?,"Strategisk perspektiv til Head of Products: interne gevinster er tabel-stakes, differentiering ligger i produktet"
T23,Context engineering og spec-driven arbejde er den nye kerneskill - og den er PM-formet,"Anthropic-doktrin (jul 24): mindste sæt høj-signal-tokens, kuraterede eksempler, sandboxed test. Bain: AGENTS.md, subagents, MCP, skills som standard-stack. Vibe-coding-hangoveret peger samme sted: dømmekraften flytter opstrøms til hvad der skal bygges, hvordan det struktureres, hvad AI'en tog fejl af. At specificere godt = at lede agenter godt.",Roller & skills,"Anthropic, Bain, praktiker-diskurs (spec-driven development), Matthews/Lenny",Ingen - men modenhedsgrad varierer enormt,Medium-Høj,Hvordan arbejder et rigtig godt AI-team?,Godt budskab til ikke-tekniske: den vigtigste nye skill ligner mere god produktledelse end programmering
T24,"Agentic arbitrage: hvad er produktet, når agenter medierer brugen?","Gartner: op til 234 mia. USD enterprise-SaaS-spend (ca. 20%) eksponeret når agenter gør UI'er usynlige og leverer outcomes direkte; Saaspocalypse som metamorfose. Deloitte-scenarie internet of agents: brugere konsumerer outcomes i stedet for tools; værdi flytter til orkestrering, policy, kontekst og tillid.",Agentic AI & tooling,"Gartner, Deloitte (scenarieplanlægning)",Langt sigt og hedged (op til / at risk); Gartner noterer selv at nutidens agentic-løsninger kræver tung service,"Lav-Medium (strukturelt, 2030-horisont)",Hvad er AI god til?,"Perspektiv-slide til slut: hvad betyder det for jeres produkter, ikke kun jeres proces"
