Kilde,Kildetype,Titel,Dato,Hovedpointe,Kategori,Trend-ID,URL
Gartner,Konsulenthus,$234B enterprise app spend at risk from agentic arbitrage,2026-07-01,Agenter gør software-UI'er usynlige; ~20% af enterprise SaaS eksponeret mod 2030. Saaspocalypse som metamorfose. Realitetstjek: nutidens agentic-løsninger kræver tung service-indsats.,Agentic AI & tooling,T24,https://www.gartner.com/en/newsroom/press-releases/2026-07-01-gartner-says-us-dollars-234-billion-in-enterprise-application-software-spend-is-at-risk-from-agentic-artificial-intelligence
Gartner,Konsulenthus,AI agents will outnumber sellers 10:1 by 2028 - yet <40% of sellers see productivity gain,2026-07-28,Dobbelt-forudsigelse der kvantificerer deployment/oplevet-værdi-gabet: massiv udrulning OG flertal der ikke mærker gevinsten.,AI styrker/begrænsninger,"T1, T18",https://www.gartner.com/en/newsroom/press-releases/2026-07-28
Gartner,Konsulenthus,Most privacy incidents will stem from AI-generated inferences by 2029,2026-07-30,Trusselsmodellen skifter: AI udleder følsomme attributter fra harmløse data; dataminimering beskytter ikke længere alene.,Governance & sikkerhed,T11,https://www.gartner.com/en/newsroom/press-releases/2026-07-30
Deloitte,Konsulenthus,Rewiring the enterprise operating model for AI scale (660+ tech-execs),2026-06-29,"81% siger de kan deploye/governe AI i skala - 75% indrømmer operating model skal ændres inden 12-18 mdr. Work, not jobs som ledelsesenhed; 42% forventer >40% af processer AI-enabled i 2028 (7x fra i dag).",Organisation & ledelse,"T1, T5",https://www.deloitte.com/us/en/insights/topics/technology-management/rewiring-ai-operating-model.html
Deloitte,Konsulenthus,AI adoption to adaptation,2026-07-09,"Adoption-metrics er easy to prove and easy to fake. Byg tre adfærd: dømmekraft, eksperimentering, divergent tænkning. Judgment paradox + persuasion bombing + passive validatorer. 78% eksperimenterer, kun 56% belønnes for det.",Team ways of working,"T1, T4, T14",https://www.deloitte.com/us/en/insights/topics/talent/ai-adoption-to-ai-adaptation.html
Deloitte,Konsulenthus,Medtech's agentic AI moment,2026-07-30,"45% har agenter i produktion, men 90% siger <15% af workflows er materielt transformeret; kun 7% audit-ready. Uden workflow-niveau-accountability forbliver governance et policy-dokument.",Governance & sikkerhed,"T10, T1",https://www.deloitte.com/us/en/insights/industry/health-care/medtech-agentic-ai-enterprise-workflows.html
Deloitte,Konsulenthus,Four futures for technology infrastructure,2026-07-15,"Fire 2032-scenarier inkl. internet of agents hvor apps forsvinder bag en AI-hoveddør; værdi flytter til orkestrering, policy, kontekst, tillid. Byg for optionalitet.",Agentic AI & tooling,T24,https://www.deloitte.com/us/en/insights/topics/technology-management/future-enterprise-architecture.html
Deloitte,Konsulenthus,Industry Solution Studios med Forward Deployed Engineers,2026-07-22,"Deloitte omlægger egen leverance: tværfaglige studios, FDE'er embedded hos kunden, 6-8-ugers sprints til produktion. Signal: pilot→produktion er flaskehalsen.",Getting started / lavthængende frugter,T19,https://www.deloitte.com/us/en/about/press-room/deloitte-drives-agentic-industry-transformation.html
Marty Cagan (SVPG),Influencer/PM-ekspert,The AI Productivity Paradox,2026-07-23,AI øger output overalt mens outcomes står stille - fordi de fleste accelererer den gamle projektmodel. Citerer Atlassian (89% execs: hurtigere; 6%: org-bred ROI). Build to Learn vs Build to Earn som løsningen. Indrømmer equalizer-forudsigelse var forkert.,Adoption & ROI,"T1, T2, T3, T9",https://www.svpg.com/the-ai-productivity-paradox/
Melissa Perri,Influencer/PM-ekspert,"State of AI in Product 2026 (survey, 309 produktledere, 40 lande)",2026-06-24,"87,7% bruger AI-kodeassistenter, 85,4% til produktarbejde - men kun 36% siger AI styrker deres operating model. Tools ændrede sig, arbejdet gjorde ikke. 62% af PM'er: ingen klar AI-strategi fra toppen (vs 19% af C-level - 43-pkt gap). Træn produkt+design+engineering SAMMEN.",Adoption & ROI,"T1, T2, T3, T6",https://www.produxlabs.com/product-thinking-blog/episode-271
Teresa Torres,Influencer/PM-ekspert,Quality of Evidence (m. Petra Wille),2026-07-14,"AI-rigelige signaler (analytics, tickets, AI-synteser) har sjældent signalstyrke nok til at vise hvad man skal bygge - de føles bare sådan. Vibe-coding gør interviewfærdigheder VIGTIGERE: det har aldrig været nemmere at release middelmådig software.",Workflow idé→launch,"T2, T9",https://www.producttalk.org/quality-of-evidence-all-things-product-podcast-with-teresa-torres-petra-wille/
Teresa Torres,Influencer/PM-ekspert,AI-Shaped Problems,2026-06-30,"Anti-tooling startopskrift: ét to-do-punkt, 15 min dagligt, prompt: Jeg skal gøre X - hvordan kan du hjælpe? Forvent dårlige resultater i starten. Community (show-and-tell) accelererer mere end værktøj.",Getting started / lavthængende frugter,T19,https://www.producttalk.org/ai-shaped-problems-all-things-product-podcast-with-teresa-torres-petra-wille/
Teresa Torres,Influencer/PM-ekspert,Package hacks-serien (supply chain-sikkerhed for buildere),2026-06-03,"Discovery-coachen skriver nu sikkerhedsguides til ikke-tekniske AI-buildere efter npm-hack-bølge: installer-settings, sikre defaults. Sikkerhedslitteracitet er blevet en produktskill.",Governance & sikkerhed,T11,https://www.producttalk.org/package-hacks-cowork/
Teresa Torres,Influencer/PM-ekspert,Just Now Possible: Hertility-casen (reguleret health-tech),2026-07-23,Governance som designconstraint fra dag ét gør produktet mere forsvarligt og skalerbart - ikke langsommere. Mønster: agentic loop tjekker AI-udkast mod patientdata FØR menneskeligt review; probabilistiske outputs med synlig reasoning.,Governance & sikkerhed,"T10, T4",https://www.producttalk.org/building-ai-for-womens-health-how-hertility-combined-bayesian-diagnosis-and-scan-automation/
Tim Herbig,Influencer/PM-ekspert,Accelerated Context and the Validation Sparring Partner (felt-case),2026-07-03,"Målt: user stories ~40% hurtigere, refinement -25% - og PM'en GENINVESTEREDE tiden i et valideringstrin. To begreber: accelerated context (værktøjet holder team-historik) og validation sparring partner (bed om kritik, ikke svar).",Team ways of working,"T2, T6",https://newsletter.herbig.co/posts/415
Tim Herbig,Influencer/PM-ekspert,"Product Practice #416-419 (OKR↔OST, decision journaling)",2026-07-31,"Dobler ned på klassisk craft: dømmekraft i AI-æraen trænes gennem disciplineret praksis (decision journaling, outcome-formulering), ikke gennem værktøjer. Mest konservative stemme i feltet.",Roller & skills,T4,https://newsletter.herbig.co/posts/419
Lenny Rachitsky / Noam Segal,Influencer/PM-ekspert,How tech workers are feeling in 2026 (survey),2026-07-07,"Arbejdsstyrken splitter: 49% amplified, 31% destabiliseret; burnout 44,7→55,7%. AI-identitet er stærkeste prædiktor for karrieresentiment. Frygten er overarbejde/kvalitet (51%/41%), ikke fyring (22%). Smiling exhaustion.",Organisation & ledelse,"T3, T14, T15",https://www.lennysnewsletter.com/p/how-tech-workers-are-feeling-in-2026
Colin Matthews (via Lenny),Influencer/PM-ekspert,How top PMs increase their leverage with AI,2026-06-30,Ladders of leverage: personlig (AI gør to-dos) → produkt (prototype → PR til produktion) → system (repeterbare AI-workflows med selvtjek). MCP-forbindelser til PostHog/Amplitude/Figma. Exec-forventninger skiftede primo 2026 fra prototyper til hele opgaver. (OBS: kursus-marketing.),Agentic AI & tooling,"T6, T23",https://www.lennysnewsletter.com/p/how-top-pms-increase-their-leverage
"Elizabeth Stone, Netflix CPTO (via Lenny)",Influencer/PM-ekspert,"Netflix satser på systems thinkers, ikke specialister",2026-07-19,"AI udvisker rollegrænser; Netflix hyrer for systemtænkning. Dyb craft bliver knappere og MERE værdifuld, ikke overflødig. AI-fluency embeddes i alle roller frem for en separat AI-rolle.",Roller & skills,"T7, T8",https://www.lennysnewsletter.com/p/netflix-cpto-on-ai-and-the-future
"Fiona Fung, Anthropic (via Lenny)",AI-vendor,Building the most AI-pilled engineering team,2026-06-21,Anthropic-ingeniører shipper ~8x kode pr. kvartal vs 2025; knapheden er flyttet til verifikation. Team-rutiner med Claude; skift fra individuel produktion til team-orkestrering af agenter. (Vendor-stemme.),Team ways of working,"T4, T6",https://www.lennysnewsletter.com/p/building-the-most-ai-pilled-engineering
"Andrew Ambrosino, OpenAI (via Lenny)",AI-vendor,Codex-lead: AI har inverteret produktarbejdet,2026-06-28,"Næsten 100% af OpenAI-ansatte (ikke kun ingeniører) bruger Codex ugentligt. Byg først, specificér/kuratér bagefter; taste er topskillen. I direkte spænding med Cagan/Torres. (Vendor-stemme.)",Roller & skills,"T8, T9",https://www.lennysnewsletter.com/p/openai-codex-lead-on-the-new-shape
"Dianne Penn, Anthropic (via Lenny)",AI-vendor,"Token maxing, the jagged edge, living in the future",2026-07-26,Jagged edge-mentalmodellen: AI er superhuman på nogle opgaver og svag på naboopgaver. Eval-driven development som kerneloop. Bedste tilgængelige mentalmodel til hvad AI kan/ikke kan. (Vendor-stemme.),AI styrker/begrænsninger,"T18, T4",https://www.lennysnewsletter.com/p/anthropics-first-technical-pm-on
Anthropic,AI-vendor,How Anthropic secures its AI-native SDLC,2026-07-20,"Claude skriver ~80% af merged kode; sikkerhed via agentic+deterministisk review, risk-tiered human approval, egress allowlists, SIEM. PRs med substantielle reviewkommentarer 16%→54% efter krav om beviste findings. (Dato ca.)",Governance & sikkerhed,"T4, T10, T16",https://claude.com/blog/how-anthropic-secures-its-ai-native-software-development-lifecycle
Anthropic,AI-vendor,Economic Index: Cadences,2026-06-26,"93% af Claude-samtaler producerer et konkret artefakt. Mere AI-produktion betyder IKKE mindre menneskelig involvering (1,34x output OG 1,53x flere turns i højtlønnede fag). Autonomi og kompleksitet stiger sammen (r=0,68).",AI styrker/begrænsninger,"T4, T15",https://www.anthropic.com/research/economic-index-june-2026-report
Anthropic,AI-vendor,Claude Tag (Slack) lancering,2026-06-23,"AI-teammate i teamkanalen: admins scoper adgang, alle kan tagge @Claude. Klareste konkrete model for team-AI-setup vs individuelle licenser. Fortune-framing virtual employee er hype.",Team ways of working,"T6, T20",https://www.anthropic.com/news/introducing-claude-tag
Anthropic,AI-vendor,"Enterprise spend controls + Ode JV (Blackstone m.fl., ~1,5 mia. USD)",2026-07-15,"Governance som produktfeatures: entitlements, spend-alerts, cost analytics (jul 2). JV-tesen: næste billion-dollar-forretning er implementering, ikke modeller. Vendors siger selv: flaskehalsen er organisatorisk adoption.",Governance & sikkerhed,"T10, T13",https://techcrunch.com/2026/07/15/anthropic-blackstone-bet-the-next-trillion-dollar-ai-business-is-implementation-not-models/
Anthropic,AI-vendor,The new rules of context engineering (Claude 5-generation),2026-07-24,"Doktrin: mindste sæt høj-signal-tokens, kuraterede eksempler, bevidst tool-design, sandboxed test. Den knappe skill er at specificere og strukturere arbejde for agenter - en PM/PO-formet skill.",Roller & skills,T23,https://claude.com/blog-category/agents
OpenAI,AI-vendor,ChatGPT Work lancering (GPT-5.6),2026-07-09,"Agent der arbejder autonomt i timevis og leverer færdige docs/sheets/præsentationer. Bekræfter agenter til alle, ikke kun devs som H2-2026 vendor-push.",Agentic AI & tooling,T20,https://www.bloomberg.com/news/articles/2026-07-09/openai-unveils-chatgpt-work-agent-to-field-tasks-for-hours
Forbes (Larry English),Presse/øvrig,AI Is Rewriting the Rules of Product Development,2026-07-30,"PM-roller -30% (SaaS -70%), product builders 600k→1,7 mio. (Products That Count-rapport - ENKELTKILDE, brug som ét brancherapport-claim). Hurtigste orgs redesigner hele livscyklussen. Generalist-kilde.",Roller & skills,"T7, T8",https://www.forbes.com/sites/larryenglish/2026/07/30/ai-is-rewriting-the-rules-of-product-development/
Figma,Presse/øvrig,"Figma 2026 AI Report (8.403 svar, 10 markeder)",2026-07-07,"Rollegrænser opløses målbart: devs der designer 44→60%, designere der koder 21→41% på ét år. 41% siger AI ændrer teamsamarbejdet (vs 7% for to år siden). Designere splittet: 36% bedre / 35% værre / 29% samme.",Team ways of working,"T7, T15",https://www.figma.com/blog/2026-ai-report/
"HBR (Wei, Xin, Yip, Greeven)",Presse/øvrig,AI Adoption Is Testing Modular Firms,2026-07-13,"AI knækker den agile/modulære organisation: man kan dekomponere i squads men ikke rekombinere kapabiliteter hurtigt nok. Composable integration: standardiser governance-interfaces, skub integrationsautoritet til frontlinjen.",Organisation & ledelse,"T5, T21",https://hbr.org/2026/07/ai-adoption-is-testing-modular-firms
HBR (Holweg & Davenport),Presse/øvrig,Don't Let AI Slop Muck Up Your Company's Processes,2026-06-15,"Workslop eskalerer til knowledge decay: processer rådner, institutionel hukommelse tyndes ud, tillid til interne dokumenter falder. Verifikations-overhead æder naive effektiviserings-cases. (Dato ca., juni 2026.)",Risici & modtrends,T16,https://hbr.org/2026/06/dont-let-ai-slop-muck-up-your-companys-processes
Fortune,Presse/øvrig,AI agents are flattening corporate hierarchies,2026-06-09,"Korn Ferry: 41% af medarbejdere så ledelseslag skåret det seneste år. Agenter absorberer koordinationsarbejde; mellemledere bliver player-coaches (Cognizant-CEO: macro delegate, micro steer).",Organisation & ledelse,T21,https://fortune.com/2026/06/09/ai-agents-flattening-corporate-hierarchies-companies-managers-develop-new-playbook/
Fortune / NOTUS,Presse/øvrig,AI-boble-diskursen (1999-parallel + Treasury-læk),2026-07-06,"Juni-selloff; lækket Treasury-udkast advarer om systemisk risiko; AI-boble-søgninger +1581% YoY. Nuance: handler om capex/valuations, ikke AI's nytteværdi i arbejdet - pressen blander det sammen.",Risici & modtrends,T17,https://www.notus.org/economy/treasury-internal-report-warning-dangers-ai-bubble
Fortune (Brynjolfsson/Stanford-ADP),Presse/øvrig,Entry-level-jobkrisen i AI-eksponerede fag,2026-06-27,"22-25-årige i mest AI-eksponerede jobs: -3,8%/år og accelererende; entry-level devroller -20% siden 2022. Drevet af hiring-stop, ikke fyringer. (Modspil: Stanford Review peger på makro, ikke AI.)",Risici & modtrends,T14,https://fortune.com/2026/06/27/what-is-ai-impact-entry-level-jobs-stanford-adp-canaries-brynjolfsson-richardson/
Help Net Security / OWASP,Presse/øvrig,Prompt injection driver flest agentic AI-sikkerhedsfejl,2026-06-11,"Indirekte injection (instruktioner gemt i mails/docs/web) >55% af hændelser, +340% YoY. 55-63% af orgs mangler purpose binding, kill switches eller netværksisolation for agenter.",Governance & sikkerhed,T11,https://www.helpnetsecurity.com/2026/06/11/owasp-prompt-injection-ai-security-failures/
Travers Smith / CSA,Presse/øvrig,EU AI Act: Digital Omnibus-udskydelse,2026-06-29,"High-risk-forpligtelser (kreditscoring, HR, biometri) udskudt fra aug 2026 til dec 2027. Artikel 50-transparens gælder STADIG fra 2. aug 2026. Pressen citerer ofte gamle deadlines.",Governance & sikkerhed,T12,https://www.traverssmith.com/knowledge/knowledge-container/eu-agrees-to-delay-key-ai-act-compliance-deadlines/
"METR (baggrund, pre-window)",Presse/øvrig,Developer productivity-eksperimentet kan ikke længere køres,2026-02-24,Baggrund: 2025-RCT viste devs 19% langsommere med AI mens de troede +20%. 2026-kohorte: -4% (CI -15/+9) - og designet opgivet fordi udviklere nægter at arbejde uden AI. Epistemisk ydmyghed er selve pointen. FØR VINDUE - brug som baggrund.,AI styrker/begrænsninger,T18,https://metr.org/blog/2026-02-24-uplift-update/
MarketScale m.fl.,Presse/øvrig,"Enterprise AI ROI lander i insights og CX, ikke cost savings",2026-07-15,"Kun 39% rapporterer EBIT-effekt (oftest <5%); 25% af initiativer ramte forventet ROI; 16% skaleret enterprise-bredt. Governance-gap vokser med spend. (Dato ca.; aggregeret survey-presse - indikativt, ikke definitivt.)",Adoption & ROI,T1,https://www.marketscale.com/industries/software-and-technology/enterprise-ai-is-generating-business-insights-but-not-saving-money-and-the-governance-gap-is-widening
StepTo m.fl. (praktiker-diskurs),Presse/øvrig,The Vibe Coding Hangover,2026-07-07,"40-62% af AI-genereret kode har sikkerhedsfejl; dokumenterede incidents (1,5 mio. eksponerede API-nøgler). Pivot til spec-driven development og governed AI. Dømmekraften flytter opstrøms.",Risici & modtrends,"T16, T23",https://stepto.net/blog/vibe-coding-enterprise-quality-crisis-2026
